year, daya, temperature, temperatureT, psnsun_to_cpool, psnsun_to_cpool_T, psnshade_to_cpool, psnshade_to_cpool_T, limited, carbon limited Per
0, 152, 9.0375, 7.08281, 0.000319452, 0.000246598, 6.30064e-06, 4.88207e-06, 0, 0
0, 153, 10.233, 8.28058, 0.000692367, 0.00069657, 2.74993e-05, 2.79703e-05, 0, 0
0, 154, 10.602, 8.37437, 0.00111888, 0.000956572, 6.71458e-05, 5.84543e-05, 0, 0.142857
0, 155, 5.983, 4.11944, 0.000887026, 0.000655897, 6.97125e-05, 5.16537e-05, 0, 0
0, 156, 6.0395, 3.83458, 0.00103973, 0.000846402, 0.000101481, 8.30752e-05, 0, 0
0, 157, 7.3785, 4.97733, 0.00134747, 0.00119701, 0.000156793, 0.00014135, 0, 0
0, 158, 8.307, 5.93942, 0.00166614, 0.00146754, 0.000225482, 0.000201614, 0, 0
0, 159, 10.952, 8.0029, 0.0025783, 0.00228204, 0.000406693, 0.000387252, 0, 0.25
0, 160, 12.53, 10.0096, 0.00302592, 0.00283322, 0.000537647, 0.000541949, 0, 0.392857
0, 161, 10.952, 8.3609, 0.00283901, 0.00218645, 0.000551331, 0.000448696, 0, 0.178571
0, 162, 9.8065, 7.93348, 0.0026052, 0.00229256, 0.000545659, 0.000500386, 0, 0.0357143
0, 163, 7.1565, 5.01173, 0.00199113, 0.0016821, 0.000445747, 0.000387935, 0, 0
0, 164, 9.5095, 6.94313, 0.0031035, 0.00272994, 0.000769941, 0.000700277, 0, 0.0714286
0, 165, 11.207, 9.28644, 0.00346379, 0.00358684, 0.000908302, 0.00100314, 0, 0.214286
0, 166, 12.2135, 9.50181, 0.00435031, 0.00400279, 0.00125856, 0.00131711, 0, 0.428571
0, 167, 11.3395, 9.30765, 0.00331524, 0.00343752, 0.000957621, 0.00108297, 0, 0.178571
0, 168, 11.516, 8.95977, 0.00375015, 0.00338381, 0.00115881, 0.00115701, 0, 0.214286
0, 169, 10.1785, 8.58819, 0.00278096, 0.00280415, 0.000864667, 0.000945144, 0, 0
0, 170, 10.479, 8.66619, 0.00352719, 0.00343398, 0.00118031, 0.00123108, 0, 0.0357143
0, 171, 11.029, 8.67637, 0.00371882, 0.00323045, 0.00129341, 0.00124561, 0, 0.0714286
0, 172, 10.2325, 8.14108, 0.00385079, 0.00334264, 0.00141281, 0.0013385, 0, 0.142857
0, 173, 12.2395, 9.6731, 0.0045931, 0.00429619, 0.00175743, 0.00189029, 0, 0.321429
0, 174, 11.0265, 8.97448, 0.00442845, 0.00422828, 0.00176252, 0.00187828, 0, 0.214286
0, 175, 12.3695, 9.79923, 0.00431323, 0.00392736, 0.0017187, 0.00182737, 0, 0.285714
0, 176, 13.107, 10.6462, 0.00507492, 0.00465738, 0.00214269, 0.00230785, 0, 0.392857
0, 177, 15.4235, 12.6223, 0.00575797, 0.00533374, 0.00254744, 0.00288739, 0, 0.5
0, 178, 15.462, 12.9612, 0.00627381, 0.00574446, 0.00293159, 0.0033526, 0, 0.607143
0, 179, 15.467, 12.8301, 0.00587932, 0.00552005, 0.00274029, 0.00322836, 0, 0.428571
0, 180, 11.443, 10.0324, 0.0038175, 0.00415393, 0.00169074, 0.0020492, 0, 0.0357143
0, 181, 14.379, 11.9384, 0.00593371, 0.00570694, 0.0028957, 0.00339725, 0, 0.428571
0, 182, 12.4435, 10.0943, 0.00479593, 0.00486614, 0.00228253, 0.00263535, 0, 0.178571
0, 183, 13.848, 11.4001, 0.00581239, 0.00542631, 0.00292517, 0.00348565, 0, 0.535714
