    plotID  year      PRCP      Tavg   max_LAI        ET     Trans    Evapor   CanopyW        OF       NPP       NBP       NEP       NEE       GPP        MR        GR        HR     root_MR     leaf_MR      bgc土壤水          bgc雪
       123  2004     984.2       7.8       2.6     192.8      23.5     169.3     114.1     789.3     434.0     -25.1     -25.1     -25.1     751.0     186.8     130.2     459.1      85.3     101.5     188.6       0.5
       123  2005     763.0       7.2       2.7     186.0      27.9     158.1      98.2     565.5     481.3      41.5      41.5      41.5     833.5     207.8     144.4     439.9      93.4     114.4     187.3       2.0
       123  2006     785.8       6.4       2.7     187.1      21.3     165.8      91.5     599.9     433.2       1.9       1.9       1.9     747.3     184.1     129.9     431.2      84.8      99.3     187.6       4.6
       123  2007     744.6       5.6       2.5     177.1      21.5     155.6     102.9     492.5     430.7     -20.9     -20.9     -20.9     734.6     174.7     129.2     451.6      80.6      94.1     187.0      10.2
       123  2008     581.5       6.8       2.6     177.3      25.7     151.6      71.6     492.8     446.4     -15.5     -15.5     -15.5     773.3     193.0     133.9     461.9      87.0     106.0     186.9      23.5
       123  2009     617.7       7.3       2.8     146.0      26.7     119.3     102.2     471.1     486.7      70.3      70.3      70.3     837.1     204.3     146.0     416.4      93.7     110.6     186.8       0.6
       123  2010     647.9       7.1       2.6     127.4      22.8     104.6      84.8     512.6     399.0     -63.7     -63.7     -63.7     689.6     171.0     119.7     462.7      78.1      92.9     186.8       0.6
       123  2011     641.9       6.8       2.5     169.3      22.5     146.7      82.6     480.5     462.9      37.8      37.8      37.8     781.5     179.7     138.9     425.1      82.4      97.3     186.9       1.0
       123  2012     527.4       6.1       2.6     130.4      20.9     109.6      81.6     397.8     404.0      -2.0      -2.0      -2.0     691.8     166.6     121.2     406.0      76.7      89.9     186.4       0.2
       123  2013     561.3       7.1       2.3     120.1      21.5      98.5      57.8     419.8     389.3     -71.9     -71.9     -71.9     652.0     145.9     116.8     461.2      66.2      79.7     186.6       0.5
       123  2014     498.6       6.7       2.5     133.1      24.7     108.4      53.6     385.5     467.6      61.4      61.4      61.4     791.5     183.7     140.3     406.2      84.0      99.6     185.1       3.8
    plotID  year      PRCP      Tavg   max_LAI        ET     Trans    Evapor   CanopyW        OF       NPP       NBP       NEP       NEE       GPP        MR        GR        HR     root_MR     leaf_MR      bgc土壤水          bgc雪
       123  2004     984.2       7.8       2.6     192.8      23.5     169.3     114.1     789.3     434.0     -25.1     -25.1     -25.1     751.0     186.8     130.2     459.1      85.3     101.5     188.6       0.5
       123  2005     763.0       7.2       2.7     186.0      27.9     158.1      98.2     565.5     481.3      41.5      41.5      41.5     833.5     207.8     144.4     439.9      93.4     114.4     187.3       2.0
       123  2006     785.8       6.4       2.7     187.1      21.3     165.8      91.5     599.9     433.2       1.9       1.9       1.9     747.3     184.1     129.9     431.2      84.8      99.3     187.6       4.6
       123  2007     744.6       5.6       2.5     177.1      21.5     155.6     102.9     492.5     430.7     -20.9     -20.9     -20.9     734.6     174.7     129.2     451.6      80.6      94.1     187.0      10.2
       123  2008     581.5       6.8       2.6     177.3      25.7     151.6      71.6     492.8     446.4     -15.5     -15.5     -15.5     773.3     193.0     133.9     461.9      87.0     106.0     186.9      23.5
       123  2009     617.7       7.3       2.8     146.0      26.7     119.3     102.2     471.1     486.7      70.3      70.3      70.3     837.1     204.3     146.0     416.4      93.7     110.6     186.8       0.6
       123  2010     647.9       7.1       2.6     127.4      22.8     104.6      84.8     512.6     399.0     -63.7     -63.7     -63.7     689.6     171.0     119.7     462.7      78.1      92.9     186.8       0.6
       123  2011     641.9       6.8       2.5     169.3      22.5     146.7      82.6     480.5     462.9      37.8      37.8      37.8     781.5     179.7     138.9     425.1      82.4      97.3     186.9       1.0
       123  2012     527.4       6.1       2.6     130.4      20.9     109.6      81.6     397.8     404.0      -2.0      -2.0      -2.0     691.8     166.6     121.2     406.0      76.7      89.9     186.4       0.2
       123  2013     561.3       7.1       2.3     120.1      21.5      98.5      57.8     419.8     389.3     -71.9     -71.9     -71.9     652.0     145.9     116.8     461.2      66.2      79.7     186.6       0.5
       123  2014     498.6       6.7       2.5     133.1      24.7     108.4      53.6     385.5     467.6      61.4      61.4      61.4     791.5     183.7     140.3     406.2      84.0      99.6     185.1       3.8
