year, daya, temperature, temperatureT, psnsun_to_cpool, psnsun_to_cpool_T, psnshade_to_cpool, psnshade_to_cpool_T, limited, carbon limited Per
0, 129, -9.25596e+61, -9.25596e+61, 0, 0, 0, 0, 1, -9.25596e+61
0, 130, 12.0643, 8.95871, 0.00267596, 0.00223801, 0.000423786, 0.000399302, 0, 0.3
0, 131, 17.2297, 13.3595, 0.00393224, 0.00377837, 0.00120893, 0.00141232, 0, 0.290323
0, 132, 19.9061, 15.7949, 0.00590787, 0.00491378, 0.0028076, 0.0031601, 0, 0.451613
0, 133, 9.47362, 8.27385, 0.00290907, 0.00348358, 0.00160756, 0.00213151, 0, 0
0, 134, 13.6762, 10.4487, 0.00639175, 0.00616517, 0.00455556, 0.00552642, 0, 0.258065
0, 135, 23.1546, 17.2584, 0.0057874, 0.00528603, 0.00457417, 0.00613862, 0, 0.321429
0, 136, 13.2835, 11.2736, 0.00598934, 0.0061384, 0.00519908, 0.00669398, 0, 0.0967742
0, 137, 18.0548, 14.5888, 0.008263, 0.00714886, 0.00830734, 0.0106947, 0, 0.516129
0, 138, 12.3582, 10.8668, 0.00200103, 0.00268489, 0.00174246, 0.00255324, 0, 0
0, 139, 17.8605, 15.741, 0.00832233, 0.0076183, 0.00923603, 0.0125001, 0, 0.483871
0, 140, 18.6071, 15.3565, 0.00828461, 0.00694715, 0.00942676, 0.0120995, 0, 0.4375
0, 141, 17.7322, 14.3223, 0.00749881, 0.00670179, 0.00847005, 0.0114528, 0, 0.419355
0, 142, 9.07866, 8.03029, 0.0046724, 0.00514285, 0.00516582, 0.00703471, 0, 0
0, 143, 13.5723, 10.6769, 0.00493798, 0.00556291, 0.00526999, 0.00742245, 0, 0
0, 144, 9.95164, 9.60935, 0.00157191, 0.00225045, 0.00157119, 0.00244911, 0, 0
0, 145, 8.43016, 7.92221, 0.00170111, 0.00247427, 0.00173715, 0.00279591, 0, 0
0, 146, 6.43983, 6.18606, 0.00150286, 0.00202803, 0.00154742, 0.00231996, 0, 0
0, 147, 13.7278, 10.7151, 0.00638805, 0.0064672, 0.0074722, 0.0104423, 0, 0.21875
0, 148, 9.70044, 9.43079, 0.0016378, 0.00227918, 0.00168406, 0.00248012, 0, 0
0, 149, 10.6873, 9.17956, 0.00769918, 0.00730357, 0.010667, 0.0144686, 0, 0.1875
0, 150, 12.5766, 10.5521, 0.00831175, 0.00727552, 0.0112276, 0.0152058, 0, 0.3125
0, 151, 14.4889, 11.8371, 0.00817681, 0.00814967, 0.0105733, 0.0149657, 0, 0.3125
0, 152, 9.4337, 8.29946, 0.00358243, 0.00432685, 0.00398036, 0.00560293, 0, 0
0, 153, 7.46534, 6.90517, 0.00189041, 0.00242566, 0.00200734, 0.00285921, 0, 0
0, 154, 14.3634, 11.6572, 0.00724158, 0.00739958, 0.0088902, 0.0123255, 0, 0.121212
0, 155, 15.5524, 13.1317, 0.00910279, 0.00867884, 0.0122397, 0.0168882, 0, 0.454545
0, 156, 17.4748, 14.0416, 0.00946228, 0.00798196, 0.0129716, 0.0175769, 0, 0.484848
0, 157, 16.5145, 13.3354, 0.00901878, 0.00800909, 0.012418, 0.0169579, 0, 0.454545
0, 158, 12.5712, 10.4769, 0.00396842, 0.00477179, 0.00451765, 0.00644872, 0, 0
0, 159, 22.1411, 18.0829, 0.00667857, 0.00610599, 0.00878841, 0.012123, 0, 0.272727
0, 160, 28.1094, 24.8026, 0.00555776, 0.00430728, 0.00926128, 0.0111555, 0, 0.151515
0, 161, 17.2448, 14.9332, 0.00332895, 0.00270864, 0.0104524, 0.0118526, 1, 0.666667
0, 162, 15.4209, 12.8845, 0.00101345, 0.000901393, 0.00504989, 0.00489031, 1, 0.787879
0, 163, 17.2981, 14.8338, 0.0005206, 0.000500888, 0.00336941, 0.00302023, 1, 0.727273
0, 164, 19.562, 15.9956, 0.000598228, 0.000573137, 0.00383969, 0.00340169, 1, 0.757576
0, 165, 16.6547, 15.014, 0.000501188, 0.000481993, 0.00327654, 0.0028439, 0, 0.424242
0, 166, 23.192, 19.8719, 0.000750268, 0.000691119, 0.00465091, 0.00352191, 0, 0.272727
0, 167, 21.9621, 19.8856, 0.000695591, 0.000664203, 0.00451768, 0.00398684, 0, 0.666667
0, 168, 24.4829, 21.3918, 0.000815773, 0.000773317, 0.00523949, 0.00451067, 0, 0.606061
0, 169, 22.2675, 19.7529, 0.000709374, 0.000671786, 0.00462951, 0.00405555, 0, 0.575758
0, 170, 13.3409, 12.4245, 0.000411898, 0.000380957, 0.00241295, 0.00212438, 0, 0.151515
0, 171, 16.4453, 13.847, 0.000481092, 0.000471976, 0.00331168, 0.00303044, 1, 0.78125
0, 172, 19.6481, 17.4285, 0.000602535, 0.000575274, 0.00394734, 0.00337097, 0, 0.424242
