Year,Day, HRMIN,TA,prcp,VPD,Srad,GPP,NEE
2004,1,0,-8.86,0,170.7,0,,
2004,1,30,-9.38,0,163.9,0,,
2004,1,100,-9.02,0,183.7,0,,
2004,1,130,-9.11,0,191.6,0,,
2004,1,200,-10.6,0,141.6,0,,
2004,1,230,-11.08,0,129.2,0,,
2004,1,300,-10.01,0,177.2,0,,
2004,1,330,-10.85,0,165.5,0,,
2004,1,400,-11.69,0,142.8,0,,
2004,1,430,-12.93,0,112.1,0,,
2004,1,500,-13.39,0,86.6,0,,
2004,1,530,-13.84,0,68.2,0,,
2004,1,600,-14.22,0,70.4,0,,
2004,1,630,-13.25,0,91.9,0,,
2004,1,700,-13.95,0,80.5,0,,
2004,1,730,-13.35,0,93.5,0,,
2004,1,800,-14.01,0,85.7,0,,
2004,1,830,-14.05,0,91.7,1.008,,
2004,1,900,-14.58,0,84.3,19.51,,
2004,1,930,-12.86,0,107.3,136.9,,
2004,1,1000,-10.57,0,138.3,260.4,,
2004,1,1030,-8.43,0,186.8,363.6,,
2004,1,1100,-6.686,0,228,458.6,,
2004,1,1130,-5.905,0,236.7,540.5,,
2004,1,1200,-4.448,0,291.9,612.4,,
2004,1,1230,-1.689,0,447.4,683.1,,
2004,1,1300,-1.603,0,451.6,724.5,,
2004,1,1330,-1.211,0,483.6,749.6,,
2004,1,1400,-0.519,0,500.1,725.967,,
2004,1,1430,0.385,0,536.3,707.467,,
2004,1,1500,0.576,0,558.9,703.8,,
2004,1,1530,0.751,0,567.6,669,,
2004,1,1600,0.902,0,576.1,490.6,,
2004,1,1630,0.904,0,580.5,362,,
2004,1,1700,0.238,0,543.3,196.8,,
2004,1,1730,0.438,0,557.1,157.6,,
2004,1,1800,-0.338,0,504.7,75.83,,
2004,1,1830,-1.131,0,463.3,0,,
2004,1,1900,-2.925,0,356,0,,
2004,1,1930,-4.079,0,310.7,0,,
2004,1,2000,-4.043,0,317.8,0,,
2004,1,2030,-3.79,0,333.8,0,,
2004,1,2100,-3.963,0,328.5,0,,
2004,1,2130,-4.772,0,305.1,0,,
2004,1,2200,-4.4,0,339.1,0,,
2004,1,2230,-4.906,0,315.3,0,,
2004,1,2300,-6.196,0,273.3,0,,
2004,1,2330,-7.272,0,243,0,,
2004,2,0,-7.98,0,225.3,0,,
2004,2,30,-8.89,0,202.4,0,,
2004,2,100,-9.88,0,176.3,0,,
2004,2,130,-9.98,0,177.8,0,,
2004,2,200,-11.12,0,152.4,0,,
2004,2,230,-11.74,0,140.5,0,,
2004,2,300,-12.84,0,115.1,0,,
2004,2,330,-12.44,0,123.6,0,,
2004,2,400,-14.62,0,62.1,0,,
2004,2,430,-15.12,0,74.6,0,,
2004,2,500,-15.38,0,73.6,0,,
2004,2,530,-16.72,0,57.1,0,,
2004,2,600,-16.18,0,70.3,0,,
2004,2,630,-17.42,0,55.9,0,,
2004,2,700,-16.54,0,66.7,0,,
2004,2,730,-15.52,0,88.5,0,,
2004,2,800,-15.19,0,95.5,0,,
2004,2,830,-15.23,0,95,1.765,,
2004,2,900,-14.62,0,105.2,43.9,,
2004,2,930,-14.55,0,94.3,146.1,,
2004,2,1000,-12.15,0,126.2,253.9,,
2004,2,1030,-10.09,0,163.8,358.1,,
2004,2,1100,-7.393,0,233.6,451.9,,
2004,2,1130,-8.36,0,208.8,540.1,,
2004,2,1200,-7.411,0,220.5,613.3,,
2004,2,1230,-5.912,0,273,668.1,,
2004,2,1300,-4.158,0,338.8,704.8,,
2004,2,1330,-2.627,0,394.5,731.2,,
2004,2,1400,0.189,0,519.7,739.5,,
2004,2,1430,3.257,0,709.2,689.7,,
