year, daya, temperature, temperature_High, psnsun_cpool, psnsun_cpool_High, psnshade_cpool, psnshade_cpool_High, carbon limited, carbon limited Per
0, 122, 9.907, 7.36173, 4.52014e-06, 4.43064e-06, 7.18677e-09, 6.96475e-09, 1, 0.666667
0, 123, 10.3705, 7.44881, 9.20262e-06, 8.88856e-06, 2.89257e-08, 2.76224e-08, 1, 0.62963
0, 124, 9.3935, 6.85719, 1.28054e-05, 1.22899e-05, 6.00375e-08, 5.65919e-08, 1, 0.555556
0, 125, 4.855, 3.36825, 1.26413e-05, 1.23241e-05, 7.99988e-08, 7.68805e-08, 1, 0.703704
0, 126, 4.3005, 1.74371, 1.5075e-05, 1.48107e-05, 1.18417e-07, 1.15559e-07, 1, 0.888889
0, 127, 7.981, 4.20546, 2.25462e-05, 2.21385e-05, 2.06453e-07, 1.99676e-07, 1, 0.814815
0, 128, 11.5445, 7.30613, 3.26775e-05, 3.24388e-05, 3.40291e-07, 3.34342e-07, 1, 0.703704
0, 129, 12.389, 8.96158, 3.89611e-05, 3.81197e-05, 4.57398e-07, 4.41248e-07, 1, 0.703704
0, 130, 11.504, 8.38719, 4.08612e-05, 4.05892e-05, 5.35801e-07, 5.26032e-07, 1, 0.703704
0, 131, 10.348, 7.98594, 4.15945e-05, 4.10364e-05, 6.02351e-07, 5.8581e-07, 1, 0.62963
0, 132, 12.5, 8.81396, 5.19386e-05, 5.16976e-05, 8.1151e-07, 8.00243e-07, 1, 0.518519
0, 133, 11.352, 8.85231, 5.19106e-05, 5.1026e-05, 8.78972e-07, 8.57898e-07, 1, 0.555556
0, 134, 10.6015, 7.59638, 5.28751e-05, 5.27085e-05, 9.62072e-07, 9.49989e-07, 1, 0.740741
0, 135, 13.2635, 10.0142, 6.68197e-05, 6.63302e-05, 1.28146e-06, 1.25152e-06, 1, 0.666667
0, 136, 14.1085, 10.0903, 7.46696e-05, 7.36775e-05, 1.51232e-06, 1.47856e-06, 1, 0.62963
0, 137, 14.1575, 10.313, 7.88425e-05, 7.86399e-05, 1.68304e-06, 1.65994e-06, 0, 0.444444
0, 138, 13.308, 10.5895, 7.81785e-05, 7.64087e-05, 1.75746e-06, 1.69419e-06, 0, 0.37037
0, 139, 12.373, 9.70144, 7.68318e-05, 7.62534e-05, 1.8133e-06, 1.78386e-06, 0, 0.444444
0, 140, 8.394, 6.63035, 6.18607e-05, 6.06373e-05, 1.54756e-06, 1.50238e-06, 0, 0.555556
0, 141, 6.701, 5.44985, 5.76497e-05, 5.72645e-05, 1.51189e-06, 1.4887e-06, 1, 0.740741
0, 142, 7.6295, 5.77508, 6.33278e-05, 6.32173e-05, 1.71452e-06, 1.69649e-06, 1, 0.62963
0, 143, 8.6515, 5.65256, 6.98359e-05, 6.85356e-05, 1.94666e-06, 1.89451e-06, 1, 0.592593
0, 144, 7.553, 5.60167, 6.70951e-05, 6.45781e-05, 1.94001e-06, 1.83956e-06, 1, 0.62963
0, 145, 9.4005, 7.1111, 0.000854486, 0.000734054, 2.58656e-05, 2.35179e-05, 0, 0.111111
0, 146, 9.2445, 7.53312, 0.000947135, 0.000784749, 3.38985e-05, 2.85492e-05, 0, 0.37037
0, 147, 7.296, 5.46267, 0.000671593, 0.000514832, 2.69289e-05, 2.00222e-05, 0, 0.333333
0, 148, 11.636, 8.90313, 0.0011471, 0.000940775, 4.46117e-05, 3.75821e-05, 0, 0.407407
0, 149, 10.1515, 8.58706, 0.000782614, 0.000640281, 3.3749e-05, 2.73877e-05, 0, 0.37037
0, 150, 9.166, 7.14842, 0.000789984, 0.000666299, 3.65118e-05, 2.94606e-05, 1, 0.444444
