year, daya, temperature, temperatureT, psnsun_to_cpool, psnsun_to_cpool_T, psnshade_to_cpool, psnshade_to_cpool_T, limited, carbon limited Per
0, 151, -9.25596e+61, -9.25596e+61, 0, 0, 0, 0, 1, -9.25596e+61
0, 152, 9.0375, 7.08281, 0.000131749, 0.000101468, 1.1009e-06, 8.52541e-07, 0, 0.0740741
0, 153, 10.233, 8.28058, 0.000286579, 0.000283016, 4.83504e-06, 4.89257e-06, 0, 0.259259
0, 154, 10.602, 8.37437, 0.000466563, 0.000389994, 1.1879e-05, 1.02838e-05, 0, 0.25
0, 155, 5.983, 4.11944, 0.000388982, 0.000287258, 1.25413e-05, 9.26001e-06, 0, 0
0, 156, 6.0395, 3.83458, 0.000465187, 0.00037767, 1.85288e-05, 1.50826e-05, 0, 0
0, 157, 7.3785, 4.97733, 0.000613474, 0.000541721, 2.91311e-05, 2.59221e-05, 0, 0
0, 158, 8.307, 5.93942, 0.000770485, 0.000673771, 4.25026e-05, 3.74119e-05, 0, 0
0, 159, 10.952, 8.0029, 0.00121002, 0.00106798, 7.73958e-05, 7.25064e-05, 0, 0.214286
0, 160, 12.53, 10.0096, 0.00145289, 0.00134763, 0.00010516, 0.000102938, 0, 0.392857
0, 161, 10.952, 8.3609, 0.0013758, 0.0010458, 0.000108616, 8.52898e-05, 0, 0.142857
0, 162, 9.8065, 7.93348, 0.00127834, 0.00111024, 0.000109009, 9.65014e-05, 0, 0.0357143
0, 163, 7.1565, 5.01173, 0.00098621, 0.0008222, 8.99015e-05, 7.57798e-05, 0, 0
0, 164, 9.5095, 6.94313, 0.00154332, 0.00135264, 0.000153935, 0.000137281, 0, 0.0714286
0, 165, 11.207, 9.28644, 0.00176888, 0.00181048, 0.000188924, 0.000200683, 0, 0.178571
0, 166, 12.2135, 9.50181, 0.00223832, 0.0020478, 0.000260793, 0.000262615, 0, 0.428571
0, 167, 11.3395, 9.30765, 0.00175337, 0.001788, 0.000209122, 0.000224179, 0, 0.178571
0, 168, 11.516, 8.95977, 0.00199596, 0.00176652, 0.000253357, 0.000238431, 0, 0.214286
0, 169, 10.1785, 8.58819, 0.00151231, 0.00147903, 0.000196219, 0.00019922, 0, 0
0, 170, 10.479, 8.66619, 0.00191255, 0.00182548, 0.000263775, 0.000259475, 0, 0
0, 171, 11.029, 8.67637, 0.00204401, 0.00172831, 0.000294235, 0.000262184, 0, 0.0714286
0, 172, 10.2325, 8.14108, 0.00211249, 0.00180204, 0.00031774, 0.000282064, 0, 0.142857
0, 173, 12.2395, 9.6731, 0.0025684, 0.00236512, 0.000405469, 0.000408412, 0, 0.321429
0, 174, 11.0265, 8.97448, 0.00247436, 0.00231872, 0.000403792, 0.000400149, 0, 0.178571
0, 175, 12.3695, 9.79923, 0.00247824, 0.00220815, 0.000413661, 0.00040447, 0, 0.25
0, 176, 13.107, 10.6462, 0.00292891, 0.0026333, 0.000514429, 0.000512092, 0, 0.428571
0, 177, 15.4235, 12.6223, 0.0033891, 0.00306577, 0.000627727, 0.000646991, 0, 0.464286
0, 178, 15.462, 12.9612, 0.0037035, 0.0033261, 0.000717904, 0.000746087, 0, 0.607143
0, 179, 15.467, 12.8301, 0.00351037, 0.0032239, 0.000685697, 0.000727125, 0, 0.428571
0, 180, 11.443, 10.0324, 0.00228622, 0.00241233, 0.000430051, 0.00047669, 0, 0
0, 181, 14.379, 11.9384, 0.00356533, 0.00336528, 0.000726961, 0.000776754, 0, 0.464286
0, 182, 12.4435, 10.0943, 0.00289258, 0.00285457, 0.000580916, 0.000613118, 0, 0.142857
0, 183, 13.848, 11.4001, 0.00352592, 0.00321845, 0.000743368, 0.00080174, 0, 0.535714
0, 184, 9.712, 8.47367, 0.00176546, 0.00174094, 0.000352429, 0.000366417, 0, 0
0, 185, 13.954, 11.6546, 0.00316388, 0.00319482, 0.000671124, 0.000747882, 0, 0.321429
0, 186, 13.0685, 11.0253, 0.0030623, 0.00320995, 0.000657635, 0.000757852, 0, 0.25
0, 187, 10.496, 9.02313, 0.00231678, 0.00229769, 0.000492491, 0.000516663, 0, 0
0, 188, 11.0245, 9.85121, 0.00255682, 0.00261984, 0.000554034, 0.000605044, 0, 0.0714286
0, 189, 10.0815, 8.78965, 0.0021365, 0.00237187, 0.000461443, 0.000539478, 0, 0
0, 190, 12.105, 10.5267, 0.0035073, 0.00333056, 0.000810904, 0.00084427, 0, 0.321429
0, 191, 11.733, 10.4988, 0.00253591, 0.00256444, 0.000562711, 0.000609477, 0, 0.0714286
0, 192, 10.0425, 8.66927, 0.00238761, 0.0021067, 0.000538646, 0.00049611, 0, 0
0, 193, 9.743, 7.07027, 0.00265184, 0.00234496, 0.000614062, 0.000574976, 0, 0.111111
0, 194, 10.3385, 8.66187, 0.00254429, 0.00258733, 0.000585152, 0.000631583, 0, 0.111111
0, 195, 11.467, 8.56104, 0.00312626, 0.00250547, 0.000741393, 0.000652539, 0, 0.222222
0, 196, 9.911, 9.01756, 0.00215711, 0.00236902, 0.000494717, 0.000571953, 0, 0
0, 197, 11.8805, 9.4124, 0.00281169, 0.00288404, 0.000661911, 0.000732, 0, 0.111111
0, 198, 10.952, 8.99296, 0.00290765, 0.00286056, 0.00069809, 0.000726612, 0, 0.0740741
0, 199, 14.0395, 10.8431, 0.00399567, 0.00341096, 0.00100906, 0.00100874, 0, 0.481481
0, 200, 13.5285, 11.1279, 0.00355346, 0.00345447, 0.000880281, 0.000971858, 0, 0.333333
