siteId	siteName
101	CRO
106	CRO
108	CRO
148	CRO
151	CRO
159	CRO
180	CRO
181	CRO
183	CRO
27	CRO
56	CRO
71	CRO
74	CRO
79	CRO
80	CRO
117	CSH
158	CSH
100	DBF
107	DBF
109	DBF
113	DBF
118	DBF
120	DBF
121	DBF
131	DBF
16	DBF
170	DBF
184	DBF
39	DBF
49	DBF
73	DBF
76	DBF
138	DNF
103	EBF
104	EBF
105	EBF
111	EBF
112	EBF
127	EBF
19	EBF
22	EBF
23	EBF
24	EBF
29	EBF
60	EBF
7	EBF
102	ENF
123	ENF
129	ENF
135	ENF
150	ENF
157	ENF
162	ENF
163	ENF
164	ENF
165	ENF
166	ENF
167	ENF
2	ENF
31	ENF
32	ENF
35	ENF
40	ENF
41	ENF
43	ENF
45	ENF
46	ENF
47	ENF
48	ENF
5	ENF
65	ENF
83	ENF
11	GRA
128	GRA
132	GRA
136	GRA
144	GRA
145	GRA
146	GRA
147	GRA
154	GRA
155	GRA
161	GRA
174	GRA
18	GRA
185	GRA
20	GRA
25	GRA
3	GRA
51	GRA
55	GRA
58	GRA
61	GRA
62	GRA
66	GRA
72	GRA
8	GRA
1	MF
126	MF
177	MF
26	MF
28	MF
30	MF
173	OSH
176	OSH
21	OSH
37	OSH
38	OSH
44	OSH
91	OSH
93	OSH
10	SAV
14	SAV
141	SAV
143	SAV
50	SAV
6	SAV
9	SAV
12	WET
160	WET
168	WET
171	WET
179	WET
182	WET
69	WET
70	WET
81	WET
82	WET
13	WSA
15	WSA
17	WSA
175	WSA
178	WSA
4	WSA
